rated,variant,speed,status,winner,moves,players.white.user.flair,players.white.user.patron,players.white.rating,players.white.ratingDiff,players.black.user.name,arenaTour.id
False,standard,rapid,draw,,d4 d5,nature.zebra,True,2941.0,,Infboost_11,
False,standard,rapid,draw,,e4 c5 d4 cxd4 c3 dxc3 Nxc3 Nc6 Nf3 e6 Bc4 a6 O-O Nge7 Qe2 Ng6 Rd1 b5 Bb3 Be7 Nd5 O-O Nxe7+ Qxe7 Bg5,,,1874.0,,Unicorn7Love,
False,standard,rapid,resign,black,d4 Nf6 Bf4 b6 e3 Bb7 Nf3 d6 Be2 h6 h3 g5 Bh2 Rg8 c4 h5 Rg1 g4 hxg4 hxg4 Nfd2 Nbd7 Nc3 e6 Qc2 Rh8 Bg3 Nh5 O-O-O Nxg3 fxg3 Qg5 e4 Qe3 Qd3 Bh6 Rh1 Ke7 Kc2 c5 d5 Ne5 Qxe3 Bxe3 Rdf1 Rag8 Nd1 Bd4 a4 Nd7 Nc3 Nf6 Bd3 Be5 Ne2,symbols.white-star,,2212.0,,Unicorn7Love,
False,standard,rapid,draw,,f4 c5 Nf3 Nc6 g3 g6 Bg2 Bg7 O-O,nature.gorilla,True,2020.0,,Unicorn7Love,
False,standard,rapid,draw,,d4 Nf6 c4 e6 Nf3 b6 g3 Ba6 Qc2,food-drink.pancakes,,1862.0,,Unicorn7Love,
False,standard,rapid,draw,,d4 Nf6,nature.zebra,True,2941.0,,dumplingsandball,
False,standard,rapid,draw,,d4 d5 c4 e6 g3 Nf6 Bg2 c6 Nf3 Bd6 O-O h6 Nc3 Nbd7 Nd2 Bb4 e4 Bxc3 bxc3 dxe4 Nxe4 Nxe4 Bxe4 Qa5 Bd2 Nf6 Bg2 O-O Qf3 Qh5 Qd3 e5 Rae1 Bf5 Qf3 Qxf3 Bxf3 exd4 cxd4 Rad8,nature.zebra,True,2941.0,,Sebas_pro2023,
False,standard,rapid,resign,white,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 e4 g6 f4 Bg7 Nf3 O-O Be2 Re8 e5 Ng4 h3 Nh6 O-O Nf5 Re1 Nd4 Nxd4 cxd4 Qxd4 dxe5 fxe5 Bxe5 Qf2 Nc6 Be3 Nb4 Bc4 Bf5 Rac1 Bd3 Bb3 Bf5 Bc4 a6 g4 Bd3 Bb3 Qd6 a3 Bg3 Qg2 Bxe1 Rxe1 a5 axb4 axb4 Nd1 Be4 Qh2 Qxh2+ Kxh2 Rad8 Bb6 Bf3 Rxe8+ Rxe8 Ne3 Kg7 Kg3 Be2 g5 f6 Bd4 Bb5 gxf6+ Kf8 Bc5+ Kf7 Ng4 Re2 d6+,nature.zebra,True,2941.0,,batmanbinsuparman,
False,standard,rapid,draw,,d4 Nf6 Nf3 b6 c4,,,1855.0,,Unicorn7Love,
False,standard,rapid,draw,,d4 Nf6 c4 g6 Nc3 d6 e4 Bg7 f4 O-O Nf3 e5,nature.zebra,True,2941.0,,KochLev,
False,standard,rapid,cheat,white,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f4 O-O Nf3 c5 d5 e6 Be2,nature.zebra,True,2941.0,,Anu4589,
False,standard,rapid,draw,,d4 Nf6 f4 c5 e3 g6 c3 Bg7 Nf3 O-O Bd3 b6 O-O Bb7,nature.rhinoceros,,2453.0,,Unicorn7Love,
False,standard,rapid,draw,,e4 c5 Nf3,,,1036.0,,Unicorn7Love,
False,standard,rapid,draw,,d4 Nf6 c4 c5 d5 b5 cxb5 a6 b6 Qxb6 Nc3 g6 a4 Bg7 a5 Qc7,nature.zebra,True,2941.0,,Fl4fy,
False,standard,rapid,resign,white,d4 Nf6 c4 e6 Nf3 b6 g3 Ba6 Qc2 Bb7 Bg2 c5 dxc5 bxc5 Nc3 d6 O-O Nbd7 Rd1 Be7 Bf4 e5 Bg5 a6 Bxf6 Nxf6 Nxe5 Bxg2 Kxg2 O-O Nf3 Qb6 b3 Rfe8 Nd5 Nxd5 Rxd5 a5 a4 Rab8 Rb1 Bf8 Qd3 Rb7 Nd2 Re6 Ne4 h6 Nc3 Qc6 Nb5 Rb6 Rd1 Qc8 e4 Qb8 f4 Rc6 f5 Re8 Kf3 Qb6 h4 Qb8 Qd2 Qb6 g4 f6 g5 fxg5 hxg5 hxg5 Qxg5 Qd8 Qxd8 Rxd8 e5 Rb6 exd6 Kf7 Rxc5 Kf6 Rcd5 Rd7 c5 Rc6 Re1 Rd8 Nd4 Rcc8 Re6+ Kf7 c6 g5 fxg6+ Kg7 d7 Rc7 Re8,,,2217.0,,Unicorn7Love,
False,standard,rapid,draw,,e4 c5 Nf3 d6 Nc3 Nc6 d4,nature.high-voltage,,1539.0,,Unicorn7Love,
False,standard,rapid,resign,white,d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O dxc4 Qc2 c5 Rd1 Qc7 Qxc4 Nbd7 Bf4 Nb6 Qc2 Qc6 Ne5 Qb5 Nc3 Qa5 a3 Rb8 dxc5 Qxc5 Nd3 Ng4,nature.zebra,True,2941.0,,JeyukBokkeum,
False,standard,rapid,mate,black,e4 c5 c3 d5 exd5 Qxd5 d4 Nc6 Nf3 Bf5 Na3 cxd4 Nb5 O-O-O Nbxd4 e5 Ne6 Qxd1#,,,1915.0,,Unicorn7Love,
False,standard,rapid,draw,,d4 Nf6 c4 e6 g3 d5,nature.zebra,True,2941.0,,Italiangame20,
False,standard,rapid,mate,white,h3 e5 g3 Nc6 f3 d5 e3 Nf6 d3 Bd6 a3 e4 c3 exf3 b3 Bxg3+ Kd2 f2 Ne2 Bh4 Kc2 Bf5 Bg2 Ne5 Nf4 g5 Nh5 Nxh5 Qxh5 Nxd3 Kd2 Ne1 Bf3 Bd3 Be2 c5 Bxd3 d4 exd4 cxd4 c4 g4 Qe5+ Be7 Qxh8+ Kd7 Qxd4+ Ke8 Qh8+ Kd7 Qxd8+ Rxd8 Rxe1 Bg5+ Re3 Bxe3+ Kxe3 g3 Kf3 Ke7 Kxg3 Rxd3+ Kxf2 Rxh3 Nd2 h5 Nf3 f5 Kg2 Rxf3 Kxf3 h4 Bf4 h3 Rh1 Ke6 Rh2 Kf6 Rxh3 Kg6 Rh6+ Kg7 Rd6 Kh7 Rd7+ Kg6 Rxb7 a6 Ra7 Kh5 Rxa6 Kh4 Rh6#,nature.zebra,True,2941.0,,Kamil_Latypov,
