rated,variant,speed,status,winner,moves,players.white.user.flair,players.white.user.id,players.white.provisional,players.black.user.name,players.black.user.title,players.black.rating
True,standard,bullet,resign,black,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nd7 Bc4 Ngf6 Neg5 O-O Bxf7+ Rxf7 Ne6 Qe8 Nxc7 Qd8 Nxa8 b5 O-O Bb7 Ng5 Qxa8 Nxf7 Bxg2 Ng5 h6 Ne6 Bh3 Nf4 Bxf1 Qxf1 g5 Qg2 Ne4 Nd3 Ndf6 Nc5 Qd5 Nxe4 Nxe4 c3 Qf5 Be3 Nd6 Re1 Qd3 Qd5+ Kh7 Bc1 Bf6 Qe6 Qg6 Qe2 Nf5 Qxb5 g4 Qd5 Nh4 Qe4 Nf3+ Kh1 Nxe1 Qxe1 Qd3 Be3 Qe4+ Kg1 Qf3 Qf1 Qf5 Qg2 Kg6 h3 Qb1+ Qf1 Qxf1+ Kxf1 gxh3 Kg1 Kf5 Kh2 Kg4 f3+ Kxf3 Bxh6 Kg4 Kh1 e5 d5 e4 d6 Be5 d7 Bc7 Be3 Kf3 c4 Kxe3 c5 Kf2 c6 e3 d8=Q Bxd8,,chessrun800,,mraquariyaz67,GM,3495.0
True,standard,bullet,resign,white,b3 e5 Bb2 e4 d3 Nf6 dxe4 Nxe4 Nd2 Nf6 e4 d6 Ngf3 Be7 Bd3 O-O O-O Nc6 a3 Bg4 Re1 Qd7 h3 Bh5 Nc4 Rfe8 Be2 Rad8 Nd4 Bxe2 Rxe2 Bf8 Nxc6 bxc6 Bxf6 gxf6 Qd3 d5 exd5 Qxd5 Qg3+ Bg7 Rxe8+ Rxe8 Ne3 Qe5 Qxe5 fxe5 Rd1 e4 Rd7 Be5 Nf5 Kf8 Nh6 Re7 Rd8+ Kg7 Nf5+ Kf6 Nxe7 Kxe7 Rd1,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3162.0
True,standard,bullet,resign,black,e4 g6 d3 d5 Nd2 Bg7 Ngf3 e5 exd5 Ne7 c4 c6 dxc6 Nbxc6 Be2 Bf5 O-O Bxd3 Bxd3 Qxd3 Re1 O-O-O Qe2 Qxe2 Rxe2 f5 Nb3 e4 Ne1 Ne5 Bg5 Rhe8 h3 Nd3 Bxe7 Rxe7 Nxd3 Rxd3 Rae1 Rc7 c5 Bf8 Rc2 b6 Rec1 Bxc5 Nxc5 Rxc5 Rxc5+ bxc5 Rxc5+ Kb7 Re5 Rd1+ Kh2 Rd2 Kg3 Rxb2 Re7+ Kc6 Rxh7 Rxa2 Rg7 Kd5 Rxg6 Ke5 h4 f4+ Kh2 Rxf2 Ra6 f3 Ra5+ Kf4 Rxa7 Rxg2+ Kh3 Rg1 Rf7+ Ke3 Kh2 f2 h5 f1=Q,,chessrun800,,mraquariyaz67,GM,3492.0
True,standard,bullet,resign,white,b3 e5 Bb2 e4 d3 Nf6 dxe4 Nxe4 Nd2 Nf6 Ngf3 d5 e3 Bd6 c4 O-O cxd5 Nxd5 Bd3 Nc6 O-O Bg4 Nc4 Qe7 h3 Be6 Nd4 Nxd4 Bxd4 Rad8 Qc2 h6 Rad1 Nb4 Bh7+ Kh8 Qb1 Bxc4 bxc4 Bc5 Bxc5 Qxc5 Be4 c6 Rd4 Rxd4 exd4 Qxd4 Qxb4 Qxe4 Qxf8+,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3165.0
True,standard,bullet,resign,black,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nf6 Bd3 O-O Nxf6+ exf6 O-O b6 c3 Bb7 Re1 Nd7 Be4 Bxe4 Rxe4 c5 Be3 cxd4 Rxd4 Qc8 Rxd7 Qa6 Qd5 Rae8 Rd1 Qa4 a3 Re6 Qd4 Qb3 Rxa7 Qxb2 Qxb6 Rxb6 Bxb6 Qxb6 Rad7 f5 c4 Re8 R7d5 Qb3 c5 Qxa3 c6 Qc3 Rd8 Rxd8 Rxd8+ Bf8,,chessrun800,,mraquariyaz67,GM,3488.0
True,standard,bullet,outoftime,white,b3 e5 Bb2 e4 d3 Nf6 dxe4 Nxe4 Nd2 Nf6 Ngf3 d5 e3 Be7 Bd3 O-O O-O Bg4 c4 dxc4 Nxc4 Nbd7 Qc2 Re8 Rad1 h6 Nce5 Nxe5 Bxe5 Qc8 h3 Bxf3 Bf5 Bxd1 Rxd1 Qb8 Bxc7 Rc8 Bxc8 Qxc8 Rc1 Ba3 Rd1 Ne8 b4 Qxc7 Qb3 Bxb4 Qxb4 Nf6 Qa4 a6 Rb1 Rc8 Qb3 b5 g3 Qc4 Qa3 Qc3 Qxa6 Ne4 Qxb5 Nxg3 Qb3 Qxb3 Rxb3 Ne2+ Kf1 Nc1 Rb2 Nd3 Rb5 Nc1 a4 Nd3 a5 Ra8 Ke2 Nc1+ Kd1 Na2 Kc2 Rc8+ Kb2 Nc3 Rb4 Nd5 Rb7 Ne7 Rxe7 Ra8 Ka3 Rxa5+ Kb4 Rf5 Re8+ Kh7 f4 Rf6 Re4 Rg6 Kc3 Rf6 Kd4 g6 f5 h5 fxg6+ Kg7 Re5 Rxg6 Ke4 Rf6 Rxh5 Rg6 Re5 Rh6 Rf5 Rh4+ Rf4 Rxh3 Rg4+ Kf8 Rf4 Rh6 Kd3 Re6 Rd4 Rg6 Rd8+ Kg7 Rd5 Re6 Rf5 Rg6 Rf4 Rf6 Ke2 Rg6 Kf3 Rg4 Rxg4+ Kf6 Rf4+ Ke6 Re4+ Kf6 Rf4+ Kg7 Ke2 f5 Kd3 Kf6 e4 Kg6 Ke3,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3168.0
True,standard,bullet,resign,black,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nf6 Nxf6+ exf6 Bc4 O-O O-O b6 c3 Bb7 a4 Nd7 h3 c5 a5 cxd4 a6 Bxf3 Qxf3 Ne5 Qd5 Nxc4 Qxc4 dxc3 Qxc3 Rc8 Qb3 f5 Be3 Qf6 Rfc1 f4 Rxc8 Rxc8 Bxb6 Qxb6 Qxb6 axb6 a7 Ra8,,chessrun800,,mraquariyaz67,GM,3485.0
True,standard,bullet,resign,white,b3 e5 Bb2 e4 d3 Nf6 dxe4 Nxe4 Nd2 Nf6 e4 d6 Ngf3 Nc6 Bd3 Be7 O-O Bg4 Re1 Qd7 h3 Bxh3 gxh3 Qxh3 Bf1 Qg4+ Bg2 O-O-O e5 dxe5 Qe2 Bd6 Ne4 Nxe4 Qxe4 Qxe4 Rxe4 f5 Re2 e4 Ng5 Rhg8 Nxh7 Be5 Bxe5 Nxe5 Ng5 Ng6 Bh3 Rdf8 Rxe4 Kb8 Rd4 Ne5 Re1,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3172.0
True,standard,bullet,mate,black,e4 g6 d4 d5 Nc3 dxe4 Nxe4 Bg7 Nf3 Nf6 Nxf6+ exf6 Bc4 O-O O-O b6 c3 Bb7 a4 Nd7 Re1 c5 h3 cxd4 Nxd4 f5 Bf4 Nc5 Nb5 Ne4 f3 a6 fxe4 axb5 Qxd8 Rfxd8 Bxb5 Bxe4 Bc7 Rdc8 Bxb6 Bh6 Bd4 Bf8 Be3 Rcb8 Rad1 Bc2 Ra1 Bb3 Bf4 Rb7 Bc6 Rba7 Bxa8 Rxa8 a5 Bc4 b4 Bg7 Be5 Bf8 Bd4 Bh6 Reb1 Bd3 Rb2 Bb5 Rab1 Bf4 c4 Bxc4 b5 Rxa5 b6 Bd5 b7 Bb8 Bb6 Ra6 Bc5 Kg7 Bf2 Re6 Bd4+ Kh6 Bf2 g5 Rd2 Be4 Rdb2 Bxb7 Rxb7 Be5 R7b6 Kg6 Rxe6+ fxe6 Re1 Bg7 Rf1 Kf7 Be1 Kg6 Bf2 g4 Be1 gxh3 Bd2 hxg2 Kxg2 Be5 Kf3 Bf6 Ke2 Kf7 Be1 h5 Rg1 h4 Rg2 h3 Rh2 Be5 Rh1 Kg6 Rxh3 f4 Rf3 Kf5 Bd2 Bd6 Bxf4 Bxf4 Rf2 Ke4 Rf3 e5 Rf1 Bg3 Re1 Bxe1 Kxe1 Ke3 Kf1 Kd2 Kf2 e4 Kg3 e3 Kf4 e2 Kf5 e1=Q Kg6 Qe2 Kf7 Qe3 Kg8 Kd3 Kg7 Qe4 Kh8 Ke3 Kg7 Qf4 Kg8 Kf3 Kg7 Qg4+ Kh8 Kf4 Kh7 Kf5 Kh8 Qg5 Kh7 Kf6 Kh8 Qg7#,,chessrun800,,mraquariyaz67,GM,3482.0
True,standard,bullet,resign,white,b3 e5 Bb2 e4 d3 Nf6 dxe4 Nxe4 Nd2 Nf6 Ngf3 d5 e3 Nc6 Bd3 Bd6 a3 Bg4 c4 dxc4 Nxc4 O-O h3 Bh5 Nxd6 Qxd6 Be2 Qe7 Qc2 Bg6 Qc3 Rad8 O-O Rfe8 Rfd1 h6 b4 Rxd1+ Rxd1 a6 Rc1 Rd8 Bxa6 Nxb4 Qxb4 Qxb4 axb4 bxa6 Bxf6 gxf6 Rxc7 Rd1+ Kh2 Rb1 Rc6 Rxb4 Rxa6 Kg7 Nd4 Rb2 Kg3 Rb1 f3 Rb3 Nxb3,smileys.disguised-face,mraquariyaz67,,Chessrun800,,3175.0
