rated,variant,speed,status,winner,moves,players.white.rating,players.white.ratingDiff,players.black.user.patron,players.black.user.patronColor,players.black.user.id,clock.totalTime
True,chess960,bullet,outoftime,black,g3 g6 Bg2 f5 Nd3 Nf6 Nc3 Nc6 f3 Re8 g4 e5 g5 Nd5 Nxd5 Bxd5 f4 e4 Ne5 Nxe5 fxe5 Qxe5 c3 Bc4 Bd4 Qd5 d3 Ba6 Re1 Bd6 O-O-O Qxa2 dxe4 Bc4 e5 Bxe5 Bxe5 Rxe5 Rxd7 Qa1+ Kc2 Qa4+ Kb1 Qxd7 Rd1 Qe8 Bxb7 Re4 Bc6 Qxc6 Rd8+ Kb7 Qd1 Qb5 Rxa8 Bd3+ Qxd3 Qxd3+ exd3 Re1+ Kc2 Re2+ Kb3 Rxb2+ Kxb2 Kxa8 Kc2 Kb7 Kb2 a5 Kc2 a4,2437.0,-4.0,True,10.0,pap-g,30.0
True,chess960,bullet,outoftime,white,g4 g6 h4 Bg7 Qe4 f5 gxf5 Nd6 Qa4 gxf5 Bg2 Nc6 Nd3 Rf8 Nc3 O-O-O Nc5 Kb8 Nb5 Nxb5 Qxb5 b6 Nxd7+ Rxd7 Qxc6 Bd5 Bxd5 Rxd5 Qxd5 Bxb2 c3 Rd8 Qb3 Rxd2 Rc2 Rxc2 Qxc2 Bxc3 O-O-O Bb4 Qb2 Bc3 Qb3 Ba5 Bh2 Qa1+ Kc2 Qf6 Qg8+ Kb7 Qd5+ c6 Qe5 Ka6 Qxf6 exf6 Rd3 Kb5 Rg3 a6 Rf3 c5 Rxf5 Kc6 Bf4 b5 Be3 b4 Rxf6+ Kb5 Rf5 Ka4 Kd3 c4+ Kxc4 Ka3 Rxa5+ Kb2 Rxa6 b3 Rb6 Kxa2 Rxb3,2523.0,5.0,True,3.0,sisi5i,30.0
True,chess960,bullet,resign,black,b3 c6 Bb2 d5 d4 Nf6 e4 Nxe4 c4 Bf5 Nf3 e6 Qe2 Qb4+ Kf1 O-O Ne5 Nb6 f3 Nd6 Bxf5 Nxf5 Kf2 dxc4 bxc4 Na4 Nb3 Nxb2 Qxb2 Nxd4 Rxd4 Bxe5 Rhd1 c5 Rxd8 Bxb2 Rxf8+ Kxf8 Rd7 Ke8 Rc7 Bd4+ Ke2 Qxc4+,2446.0,-5.0,True,10.0,pap-g,30.0
True,chess960,bullet,mate,white,Nb3 Nf6 Nf3 e6 e4 d5 e5 Nd7 d4 c5 c3 c4 Nbd2 b5 Qe2 Nab6 O-O f6 exf6 Qf7 fxg7 Rg8 Rfe1 Nf6 Nf1 Qxg7 Ng3 h5 Bg5 Rd6 Bh4 Ne4 Bxe4 dxe4 Qxe4 Nd5 Qe5 Qf7 Qxh5 Qxh5 Nxh5 Bb7 Ng3 Kd7 Ne5+ Kc8 f3 Nc7 Be7 Nd5 Bxd6 Bxd6 Ne4 Bc7 Nc5 Nf4 Nxb7 Kxb7 g3 Nd5 Kg2 Bxe5 Rxe5 Re8 Rxd5 exd5 Rd2 Re3 Rf2 Re1 f4 Rb1 f5 Re1 f6 Re8 f7 Rf8 g4 Kc6 g5 Kd7 g6 Ke7 g7 Rxf7 g8=Q Rg7+ Qxg7+ Kd6 Qg6+ Kc7 Rf7+ Kb8 Qg8#,2512.0,6.0,True,3.0,sisi5i,30.0
True,chess960,bullet,resign,black,Nb3 f6 Nc3 e5 d3 Nb6 e4 d5 f4 d4 Ne2 Bf7 g3 O-O Bf2 c5 O-O c4 dxc4 Nxc4 fxe5 fxe5 c3 d3 g4 Bg5 Ra1 d2 Nxd2 Bxd2 Ng3 Bxe1 Rxe1,2456.0,-5.0,True,10.0,pap-g,30.0
True,chess960,bullet,outoftime,black,Nb3 f6 c4 e5 Nc3 d5 cxd5 Nb6 e4 c6 d6 Qd7 f3 Qxd6 Be2 Qc7 Be3 Be7 O-O N8d7 d4 exd4 Nxd4 Ne5 Qf2 Nbc4 Rfd1 Nxe3 Qxe3 c5 Nf5 Be6 Kh1 O-O Nd5 Bxd5 Rxd5 Rfe8 Rcd1 c4 f4 Ng6 Bh5 Qxf4 Qxf4 Nxf4 Bxe8 Rxe8 Rd7 Bf8 g3 Nd3 Rxb7 Rxe4 Kg2 Re2+ Kf3 Rf2+ Ke3 Bc5+ Ke4 Bb6 Rxg7+ Kf8 Rd7 Nc5+ Kd5 Nxd7 Ke6 Nc5+ Kxf6 Ne4+ Ke5 Nc5 Rd6 Ke8 Ng7+ Kf7 Nf5 Kg8 Rh6 Nd3+ Kf6 Nc5 Rg6+ hxg6 Kg5 Bd8+ Kh6 Kf8 Kxg6 Ne6 Ng7 Nxg7 Kh7 Nf5 Kh8 Rg2 Kh7 Rxg3,2515.0,-9.0,True,3.0,sisi5i,30.0
True,kingOfTheHill,bullet,resign,black,d4 d5 e3 c6 f4 Nf6 Nf3 Bf5 Bd3 e6 O-O Nbd7 Ne5 Bd6 Nd2 h5 Ndf3 Ne4 Bd2 Ndf6 Be1 Ng4 Qe2 Qe7 h3 Ngf6 Nd2 Nxd2 Bxd2 Ne4 Be1 h4 c4 O-O-O c5 Bc7 b4 f6 Nf3 g5 fxg5 fxg5 a4 g4 hxg4 Bxg4 b5 h3 gxh3 Rxh3 Qg2 Rg8 Ne5 Bxe5 dxe5 Qh7 Bxe4 dxe4 Bg3 Bf3 Rxf3 exf3 Qxf3 Rgxg3+ Kf2 Rxf3+,2132.0,-2.0,True,10.0,pap-g,60.0
True,kingOfTheHill,bullet,resign,white,Nf3 h5 e4 g6 d4 Bg7 Nc3 e6 Bg5 Ne7 Qd2 d5 e5 c5 dxc5 Nbc6 Nb5 O-O Nd6 Nxe5 Nxe5 Bxe5 c3 Bg7 Bd3 b6 b4 bxc5 bxc5 Bd7 O-O f6 Bh6 Nf5 Bxf5 exf5 Bxg7 Kxg7 Qxd5 Rb8 Rab1 Ba4 Rb4 Rxb4 cxb4 Qd7 Re1 Rd8 f4 Bc6 Qd4 Be4 Kf2 g5 Rxe4 fxe4 Ke3 Qe6 f5 Qe7 Qxe4,2467.0,3.0,True,3.0,yasumichi,60.0
True,kingOfTheHill,bullet,variantEnd,black,g3 d6 Bg2 h5 h4 Nf6 e3 c6 Ne2 Bg4 O-O e5 d4 e4 c4 Nbd7 Nbc3 Nb6 f3 exf3 Bxf3 Bxf3 Rxf3 d5 cxd5 Nbxd5 Nxd5 cxd5 Nc3 Qd7 Qb3 a5 Qb5 Bb4 Qxd7+ Kxd7 a3 Bxc3 bxc3 b5 a4 Rhb8 axb5 Rxb5 Ba3 Ke6 Kf2 Ne4+ Ke2 Rc8 Rf4 Rxc3 Bc1 Rc2+ Kd3 Rg2 Rxe4+ Kd7 Ra3 f5 Rf4 g6 Bd2 Rb2 Bc3 Rb1 Bxa5 Rd1+ Kc3 Re2 Kb4 Rc2 Kb3 Rc4 Bc3 Rd3 Kc2 Rxe3 Kd2 Rxg3 Ra8 Rg2+ Kd3 Rg3+ Kc2 Rg2+ Kb3 Rg3 Ra6 Rgxc3+ Kb2 Rc2+ Kb3 R2c3+ Kb2 Rd3 Kb1 Rcc3 Ra7+ Kc6 Ra6+ Kb5 Ra2 Kc4 Rb2 Rb3 Rxb3 Rxb3+ Kc1 Kd3 Rf3+ Ke4#,2247.0,-5.0,True,10.0,pap-g,60.0
True,kingOfTheHill,bullet,outoftime,black,e4 g6 d4 Bg7 Nc3 e6 Be3 Ne7 Qd2 d5 h4 h5 Nf3 O-O Bh6 dxe4 Nxe4 Nf5 Bxg7 Kxg7 c3 b6 Bd3 Bb7 O-O-O Nd7 Rdg1 Nf6 Nfg5 Nxe4 Nxe4 c5 g4 hxg4 Rxg4 cxd4 h5 Rh8 Rgg1 dxc3 bxc3 Rc8 hxg6 Rxh1 Rxh1 fxg6 Qf4 Bxe4 Qe5+ Qf6 Rh7+ Kxh7 Qxf6 Bxd3 Kd2 Ba6 Qxe6 Rc4 Qf6 Kh6 f3 Rc5 f4 Kh7 Qf7+ Kh6 Qf6 Kh7 a4 Rc7 Kc2 Rd7 Qg5 Bd3+ Kb3 Kg7 Kb4 a5+ Kb3 Be4 c4 Bd5 cxd5 Rxd5 Kc4 Rd7 Kc3 Kf7 Qg2 Nd6 Qe4 Nxe4+ Kc4 Nf6,2475.0,-11.0,True,3.0,yasumichi,60.0
