rated,variant,speed,status,winner,moves,players.white.user.id,players.white.rating,players.black.user.title,players.black.user.patron,players.black.user.patronColor,clock.increment
True,standard,bullet,resign,black,e4 d5 exd5 c6 dxc6 Nxc6 c3 e6 d4 Nf6 Nf3 a6 Bd3 Bd6 O-O Qc7 Re1 b5 a4 b4 Nbd2 Bb7 Nc4 O-O Nxd6 Qxd6 c4 Rad8 b3 Nxd4 Nxd4 Qxd4 Bxh7+ Nxh7 Qxd4 Rxd4 Be3 Rd3 Bc5 Rc8 Bxb4 Rxb3 Rab1 Rxb1 Rxb1 Be4 Rc1 Nf6 f3 Bc6 a5 Bb5 c5 Nd5 Bd2 f6 Kf2 Kf7 g4 e5 h4 Ke6 h5 Ne7 h6 gxh6 Bxh6 Rd8 Be3 Nc6 g5 Nb4 gxf6 Nd3+ Kg3 Nxc1,reluctantcannibal,2997.0,GM,True,1.0,0.0
True,standard,bullet,mate,white,Nf3 d5 c4 e6 cxd5 exd5 d4 Nf6 Nc3 Bb4 Bg5 h6 Bh4 c6 e3 Bf5 Bd3 Bxd3 Qxd3 Nbd7 O-O Be7 Ne5 Nxe5 dxe5 Nd7 Bg3 Nc5 Qc2 Ne6 Rad1 h5 f4 h4 Bf2 g6 f5 gxf5 Qxf5 Qd7 e4 d4 Ne2 c5 b4 b6 bxc5 bxc5 Rb1 Ng5 Nf4 Qxf5 exf5 Ne4 f6 Bd8 Rb7 Nxf2 Rxf2 c4 e6 Rh7 exf7+ Rxf7 Re2+ Kf8 Ng6+ Kg8 Re8+ Kh7 Nf8+ Kh6 Rxf7 d3 Re5 Bb6+ Kf1 d2 Rh7#,arm-777777,3308.0,,,,0.0
True,standard,bullet,resign,black,g3 h5 Bg2 h4 e4 d5 exd5 Nf6 Nc3 Nbd7 Qe2 Nb6 d3 h3 Be4 Nbxd5 Nxd5 Nxd5 Nf3 Nf6 Bg5 Bg4 Bxb7 Rb8 Bc6+ Bd7 Ne5 Rb6 Bxf6 Rxc6 Nxc6 Bxc6 Rg1 gxf6 O-O-O Qd5 Kb1 Bh6 f4 e6 Rge1 f5 Qd2 Bg7 Qb4 Kd7 a3 a5 Qc4 Rb8 Qxd5+ Bxd5 b3 Bc3 Rf1 Bg2 Rf2 Bd4 Rfd2 Be3 Re2 Bf3 Rxe3 Bxd1 Kc1 Bg4 d4 c5 dxc5 Kc6 Rc3 Rb5 Kd2 Rxc5 Re3 Rd5+ Kc3 Rd1 b4 Rh1 Kc4 Rxh2 Rc3 a4 b5+ Kb6 Kb4 Bf3 Rc6+ Bxc6,reluctantcannibal,3001.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 d5 c4 e6 cxd5 exd5 e4 dxe4 Qa4+ Bd7 Qxe4+ Qe7 Nc3 Nf6 Qxe7+ Bxe7 d4 Nc6 a3 O-O-O Be3 Rhe8 h3 Be6 Bb5 Nd5 O-O Nxe3 fxe3 Bd7 Rfe1 f6 Rac1 a6 Ba4 Na5 Bxd7+ Rxd7 Rc2 Bd6 Kf2 Nc4 Nd2 Nxd2 Rxd2 Rde7 Rd3 c6 Rc1 Kd7 Rc2 b5 Ne2 g5 Nc1 Re6 Nb3 h5 d5 cxd5 Rxd5 Re5 Nc5+ Ke7 Rxe5+ fxe5 Nxa6 e4 Ke2 g4 Nc7 Bxc7 Rxc7+ Kf6 Rc6+ Kg5 Rc5+ Kh4 Rxb5 gxh3 gxh3 Rh8 a4 Kxh3 a5 h4 a6 Kg2 Rg5+ Kh2 a7 Ra8 Ra5 h3 b4 Kh1 b5 h2 b6 Kg1 Ra1+ Kg2 Kd2 h1=Q Rxh1 Kxh1 Kc3 Rd8 b7 Rd3+ Kc4,arm-777777,3304.0,,,,0.0
True,standard,bullet,resign,black,e4 c5 Nf3 Nc6 d4 cxd4 c3 e5 cxd4 exd4 Bc4 Bb4+ Nbd2 Nge7 O-O O-O a3 Bxd2 Bxd2 d5 exd5 Nxd5 Ng5 Bf5 Qf3 Nce7 Rfe1 h6 Ne4 Rc8 Ba2 Qd7 Re2 Bg4 Qg3 Bxe2 Re1 d3 Bxh6 Nf5 Qg5 Nxh6 Bxd5 Qf5,anonimouspblsh10,3123.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 Nf6 d3 g6 Nbd2 Bg7 e4 O-O e5 Ne8 e6 dxe6 h3 e5 g3 Nc6 Bg2 Nd6 O-O Bf5 Re1 e4 dxe4 Nxe4 c3 Nc5 Nb3 Nd3 Re2 Nxc1 Qxc1 Qc8 Kh2 a5 a4 e5 Nc5 b6 Nh4 Bd7 Nxd7 Qxd7 Qe3 Rad8 Nf3 Rfe8 h4 h5 Bh3 Qd6 Ng5 Ne7 Ne4 Qc6 Bg2 Nf5 Qc1 Qd7 Qc2 Qd3 Rd2 Qxc2 Rxc2 Nd6 Ng5 f6 Bd5+ Kh8 Ne6 Rd7 Bc6 Rxe6 Bxd7 Re7 Bc6 f5 Re1 e4 f3 e3 Rce2 Bh6 f4 Nc4 Bd5 Nd2 Kg2 Rd7 Bf3 Nc4 b3 Nd2 Rxe3 Bf8 Re8 Kg7 Rd1 Rd3 Re2 Kf7,arm-777777,3297.0,,,,0.0
True,standard,bullet,resign,black,d4 Nf6 Nf3 c5 c3 cxd4 cxd4 d5 Bf4 Nc6 e3 Ne4 Nbd2 Bf5 Qb3 Qc8 Bb5 e6 Rc1 f6 Qa4 Kf7 O-O Be7 Nxe4 Bxe4 Nd2 Bf5 Bxc6 bxc6 Rxc6 Qe8 Rfc1 Rc8 Qa6 Rxc6 Rxc6 g5 Bd6 Bxd6 Rxd6 h5 Qxa7+ Kg6 Rd7 Rg8 Nf3 h4 h3 Qb8 Rg7+ Kh6 Rb7 Qxa7 Rxa7 Rc8 b4 Rc1+ Kh2 Rc2 a4 Rxf2 b5 Rb2 Rb7 Be4 Ne1 Re2 a5 Rxe1 a6 Re2 Kg1 Rxg2+ Kf1 Ra2 a7 Bd3+ Ke1 Bxb5 Rxb5 Rxa7 Rb6 Re7 Kd2 g4 hxg4 h3 Rb8 h2 Rb1 Kg5 Rh1 Rh7 Ke2 Kxg4 Kf2 Kf5 Kg2 Ke4 Kf2 Rh3 Ke2 Rxe3+ Kd2 Rh3 Kc2 Kxd4 Rxh2 Rxh2+,anonimouspblsh10,3264.0,GM,True,1.0,0.0
True,standard,bullet,outoftime,white,e4 Nf6 Nc3 d5 exd5 Nxd5 Bc4 Be6 Qf3 c6 Bb3 Nc7 Nge2 g6 Nf4 Bxb3 axb3 Bg7 h4 Nd7 h5 Ne5 Qg3 O-O hxg6 hxg6 Qh3 Re8 d3 e6 Qh7+ Kf8 Nh3 Ng4 Ng5 Nf6 Qh3 Ncd5 Nge4 Nxc3 Nxc3 e5 Bh6 Bxh6 Qxh6+ Ke7 O-O-O Kd7 Qg7 Qe7 d4 e4 d5 c5 d6 Qe6 Nb5 Rg8 Qh6 Qf5 Nc7 Rad8 Kb1 Kc6 Qe3 Ng4 Qc3 Nxf2 Qa5 Nxd1 Rxd1 Rxd6 Rxd6+ Kxd6 Nb5+ Ke7 Qxa7 Kf6 Qxb7 Kg7 Nd6 Qe6 Nxe4 Rh8 Nxc5 Qe1+ Ka2 Rh1 b4 Qa1+ Kb3 Qf1 c3 Qf6 Qd5 Qf1 Qd4+ Kg8 Ne4 Qf5 Nf6+ Kf8 Nd5 Kg8 Ne7+ Kf8 Nxf5 gxf5 Qf6 Kg8 Qxf5,shnitez,2988.0,GM,True,1.0,0.0
True,standard,bullet,outoftime,white,Nf3 d5 d3 Nf6 Nbd2 g6 e4 dxe4 h3 Bg7 dxe4 O-O e5 Nd5 e6 Bxe6 h4 h5 Ng5 Bg4 Be2 Bxe2 Qxe2 Nc6 Nb3 e5 g4 Nf4 Qf3 hxg4 Qxg4 Qc8 Qxc8 Raxc8 Be3 Rcd8 Nc5 Nd4 Bxd4 exd4 O-O-O b6 Nd3 Nh5 b4 a5 bxa5 bxa5 Ne4 Rfe8 Nec5 Rd5 Rde1 Bh6+ Kd1 Rb8 Ke2 Rf5 Rh3 Rxc5 Rf3 Rxc2+ Kf1 Rxa2 Re7 Rf8 Rxc7 Ra1+ Kg2 a4 Rc4 Ra3 Rxd4 Bg7 Re4 Bh6 Nc5 Rxf3 Kxf3 a3 Ra4 Bc1 Nd3 Bb2 Ra7 Rd8 Nc5 Nf6 Nb7 Rd7 Ra8+ Kg7 Nd8 Nd5 Nc6 Nc3 Nb4 Rb7 Nc2 Rb3 Nd4 Rb4 Nc2 Ne4 Nxb4 Nd2+ Ke2 Nc4 Na2 Ne5 Rd8 Nc6 Rd1 Nd4+ Kd3 Nb3 Rb1 Na5 Kc2 Nc6 Kb3 Nd4+ Kc4 Ne2 Kd3 Nf4+ Ke3 Ne6 Ke4 Nc7 h5 Nb5 h6+ Kxh6 Rc1 Kg7 Rc3 Nxc3+ Kd3,arm-777777,3302.0,,,,0.0
True,standard,bullet,resign,black,d4 Nf6 c4 d6 Nc3 Nbd7 e4 c5 Nge2 cxd4 Nxd4 g6 f3 Bg7 Be3 a6 Qd2 e5 Nc2 O-O Qxd6 Re8 O-O-O b5 cxb5 axb5 Bxb5 Re6 Qd2 Qc7 Kb1 h6 a4 Kh7 Nb4 Nb6 Nbd5 Nbxd5 Nxd5 Nxd5 exd5 Rd6 g4 Bb7 Rc1 Qd8 Rhd1 Bxd5 Qe2 e4 Bc5 exf3 Qf2 Be4+ Ka2 Rxd1,torovirgo,2976.0,GM,True,1.0,0.0
